date,demanda_energia,tarifa_energia_real,pib_real,importacoes_petroleo,d_2001,d_2006,d_2008,d_2020
2011-03-01,15188000.0,596.4131620544572,891577.4489912037,140.67,0,0,0,0
2011-04-01,15335000.0,598.4790505195448,890124.6392399004,153.87,0,0,0,0
2011-05-01,15255000.0,638.442894920448,933911.254906966,163.9,0,0,0,0
2011-06-01,15387000.0,639.4146206940442,947114.2142856892,158.8,0,0,0,0
2011-07-01,15436000.0,646.1069085188736,953187.6873661444,157.86,0,0,0,0
2011-08-01,15853000.0,638.8057740230416,956614.8867738307,157.82,0,0,0,0
2011-09-01,15731000.0,635.4560352615172,911579.6406423404,154.71,0,0,0,0
2011-10-01,15671000.0,635.1489263582281,950032.3987053278,151.2,0,0,0,0
2011-11-01,15484000.0,632.7551212117987,973631.5655868624,150.39,0,0,0,0
2011-12-01,15282000.0,610.0839492912246,980284.3583423316,147.48,0,0,0,0
2012-01-01,14567000.0,632.0618451052784,916504.8702434791,147.83,0,0,0,0
2012-02-01,15059000.0,612.3423230625316,915768.7412445514,151.34,0,0,0,0
2012-03-01,15579000.0,605.3040791779802,974705.4832739104,159.85,0,0,0,0
2012-04-01,15530000.0,600.257983106594,937363.287932767,164.61,0,0,0,0
2012-05-01,15264000.0,633.9288039697093,973886.7515324296,160.32,0,0,0,0
2012-06-01,15159000.0,627.8207172055588,963427.0711483776,152.17,0,0,0,0
2012-07-01,15214000.0,621.076004459086,986853.6011575764,142.83,0,0,0,0
2012-08-01,15628000.0,614.9956219144783,986713.3991121848,139.49,0,0,0,0
2012-09-01,15573000.0,612.4341027294519,916654.2537848222,138.52,0,0,0,0
2012-10-01,15548000.0,619.513630063687,987610.1558328256,152.21,0,0,0,0
2012-11-01,15470000.0,618.8039320112642,987814.3764545652,154.14,0,0,0,0
2012-12-01,14834000.0,614.001650934437,979900.7945369344,153.47,0,0,0,0
2013-01-01,14394000.0,616.0329314676252,955949.6265890474,147.46,0,0,0,0
2013-02-01,14814000.0,511.7384667328213,918365.2951209962,142.36,0,0,0,0
2013-03-01,15174000.0,479.8667364920678,981587.34741276,142.97,0,0,0,0
2013-04-01,15612000.0,480.6919682071256,1008481.56300567,147.61,0,0,0,0
2013-05-01,15596000.0,496.8775580119389,1005716.8890494,143.95,0,0,0,0
2013-06-01,15352000.0,494.9825752991,1006776.250721595,142.98,0,0,0,0
2013-07-01,15516000.0,495.8206951328978,1040787.9837288164,135.99,0,0,0,0
2013-08-01,15912000.0,498.3302334305093,1023374.8969191388,137.35,0,0,0,0
2013-09-01,15620000.0,498.3979442868976,978218.214867758,140.89,0,0,0,0
2013-10-01,15810000.0,497.0698839753008,1032797.5712486455,142.4,0,0,0,0
2013-11-01,15836000.0,498.99616614459416,1028870.5676729168,143.75,0,0,0,0
2013-12-01,15348000.0,500.3533138199141,1039063.4792630788,146.55,0,0,0,0
2014-01-01,14563000.0,508.3508312180533,996421.6755602574,144.05,0,0,0,0
2014-02-01,15130000.0,492.8204275608373,975939.6998027256,143.1,0,0,0,0
2014-03-01,15110000.0,486.5927022543924,986906.5687497976,142.41,0,0,0,0
2014-04-01,15283000.0,487.5712553324781,996532.4060805936,141.04,0,0,0,0
