date,demanda_energia,importacoes_petroleo,tarifa_energia_real,pib_real
2020-06-01,12565000.0,49.27,705.9934293360233,878535.654905635
2020-07-01,13928000.0,60.23,688.3767921265652,913831.572064175
2020-08-01,14554000.0,59.88,663.0911479233129,873406.5223519519
2020-09-01,14666000.0,61.67,638.3340680869333,859202.5707757572
2020-10-01,15281000.0,60.57,619.7507090018663,862473.4765161001
2020-11-01,14770000.0,64.44,626.2118141523721,845416.5985174491
2020-12-01,14686000.0,69.13,655.901537457114,864090.399494685
2021-01-01,14836000.0,69.23,674.164621533247,801350.5912037529
2021-02-01,14400000.0,76.44,597.5874896693692,807015.3257173069
2021-03-01,15600000.0,83.08,587.9717825564514,859650.5346803884
2021-04-01,15219000.0,86.71,570.1878106298537,815452.3173790206
2021-05-01,15280000.0,90.06,571.5334017226181,786961.2125141369
2021-06-01,15009000.0,93.53,603.3746019250419,789142.1666704529
2021-07-01,15314000.0,98.12,624.8134605864064,808545.4556873179
2021-08-01,15452000.0,102.47,657.9720767631477,806980.3733750132
2021-09-01,15178000.0,108.18,681.4274142030179,817096.0176670906
2021-10-01,15548000.0,111.2,712.138733151212,814525.3852437427
2021-11-01,15362000.0,115.37,718.9227427893785,836887.8079941486
2021-12-01,15087000.0,113.07,720.4756787520981,838634.1167621729
2022-01-01,14779000.0,116.3,715.6887510343375,759179.6331822012
2022-02-01,14446000.0,120.97,695.0603115068543,780280.174000836
2022-03-01,15496000.0,136.46,683.2495280573071,847842.6480228463
2022-04-01,15443000.0,163.46,661.3311203307728,825114.5045575168
2022-05-01,15521000.0,164.83,594.0590275664143,825782.6661117717
2022-06-01,15380000.0,171.96,547.1812152414487,820668.1323023998
2022-07-01,15812000.0,169.44,559.4547882183472,850610.2815901273
2022-08-01,16022000.0,163.67,565.054868795861,856411.7962841381
2022-09-01,15693000.0,153.83,576.3649908436754,849508.9620166423
2022-10-01,15720000.0,156.03,589.5274647937296,896857.0310887522
2022-11-01,15413000.0,149.91,592.6091272867313,900078.3312779753
2022-12-01,14924000.0,133.75,601.9650172962232,901756.3893185272
2023-01-01,14945000.0,136.79,616.1813631149696,828771.023291122
2023-02-01,14672000.0,130.21,610.0315234754239,847182.6023608793
2023-03-01,15985000.0,123.85,611.5473629763941,959964.7422222906
2023-04-01,15839000.0,118.97,609.0679815193458,934618.0810268467
2023-05-01,15748000.0,111.01,641.9689545559776,955405.0816614468
2023-06-01,15641000.0,110.27,653.2351201282569,958553.9328372199
2023-07-01,15710000.0,114.96,661.7934739825128,982316.6250706923
2023-08-01,16134000.0,117.68,664.6058796336421,994557.8925655105
2023-09-01,15984000.0,124.5,661.3441855483943,971378.8546751393
2023-10-01,16243000.0,127.42,673.8099696336517,1006632.7621506986
2023-11-01,16060000.0,119.02,671.2375768979093,1008763.3409261086
2023-12-01,15681000.0,113.3,673.3882813139687,1001159.5898676243
2024-01-01,15558000.0,112.28,693.7355492887074,940530.5323415454
2024-02-01,15572000.0,116.84,687.252558032542,955312.5830060411
2024-03-01,16274000.0,118.47,690.6589016538824,1028415.5132413971
2024-04-01,16377000.0,113.44,684.4898186640112,1046573.7219210285
2024-05-01,16536000.0,108.78,680.202039463801,1008441.9574497719
2024-06-01,16332000.0,105.83,683.084595257053,1011786.1357312044
2024-07-01,16789000.0,109.16,693.9153029161832,1043244.3298736638
2024-08-01,17333000.0,106.95,690.6779614647738,1026961.9028847392
2024-09-01,16919000.0,101.81,686.0798498960286,1010590.8668192638
2024-10-01,16917000.0,101.85,726.6549537060339,1055831.4564828186
2024-11-01,16876000.0,104.97,718.0407773184194,1021711.4112361544
2024-12-01,16290000.0,100.77,684.1228750313805,986414.7821333479
2025-01-01,15996000.0,107.12,693.1854479686631,944552.5982914938
2025-02-01,15900000.0,106.66,670.578696665208,970731.837997854
2025-03-01,16744000.0,101.86,671.8531505167789,1051948.7476108258
2025-04-01,16627000.0,96.94,662.1953079022236,1063784.9013981593
2025-05-01,16939000.0,94.15,685.9038056036974,1048331.1920516659
2025-06-01,16556000.0,96.78,717.2084539088543,1054954.455596473
2025-07-01,16746000.0,100.72,746.6191209505153,1101072.932080474
2025-08-01,17044000.0,100.08,747.5495878470961,1069653.7996823639
2025-09-01,16653000.0,99.35,783.7075617486623,1073986.6073299998
2025-10-01,17000000.0,97.5,777.454440893381,1103439.2
